Virtual User Script started at: 22-02-2024 16:36:16	[MsgId: MMSG-15967]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.4ccf4cac4c37dd966d3bee0b3a4137894eecde1b22a9d4e7ef07d5081b5cf67a"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'fba4d389-4b99-47c3-8d31-8d839acd6f22' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.af8fa6822a4a3a4aeaf78dd2b562b3b76ed3ef0b362f8ebc822df79717c996df"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'ce8683c3-f890-47cc-bb46-6c306696b686' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.c52c62a7c50daf7d3f73ec16977cd4b0ea401710807d5dbe3850941dd1b73a70"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'c333e77c-5899-4863-9f4b-35f9d61de76d' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.c45cd56a0a8da0883c8f9757b31891d6c628f38cb80724015ffdf33b419a73f3"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '4a88b469-c1e6-4e27-9390-c28296cbb973' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.545666a4efd056351597bb386aea1368105ededc976ed5650d8682daab9f37ff"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '2489fb86-e336-4646-af2f-bbb8039f5fd9' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.94b8a51eb078298283bcc90c1930d2207f263431522df89385d05d4271dc11fa"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'd3bebf1f-5b8c-4cb8-aedf-6babd6907b9b' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.c64c9c1008f3ba5f6e18b3ca524bc98dcd8acfae0a2720a8f1f3ef0f8d643d05"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '343eaca5-2f59-4c54-baf6-02b1f966591e' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.3a118962ef814c91f6476bb9f0de58afa63103af6ac1b8729be9b39a86789e96"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '94d561c8-61c7-4fe6-a5a7-ebfec5cc8d56' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.7e7996864a74a4b8db2b59c559f924f321668848edbcb85386212a4901ef0e6e"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '61e9cd38-5467-4535-a04c-3f09ceb284b6' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"avx":true,"physmemory":12,"sse":true,"sse2":true,"sse3":true,"sse41":true,"sse42":true,"ssse3":true' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"arch":"x86_64","platform":"Windows","version":"10.0.19045.3324"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '09ab1f02-0cca-4c6d-b929-9f1d51effaf9' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '7990a67a-9da0-43ff-bb20-a31a1d7b1c54' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"autoupdatecheckenabled":true,"ismachine":true,"laststarted":0,"name":"ChromiumUpdater","updatepolicy":-1,"version":"123.0.6288.0"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): web_custom_request("json") was successful, 918 body bytes, 1152 header bytes  	[MsgId: MMSG-26386]
Action.c(69): web_add_auto_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(69): Notify: Parameter Substitution: parameter "tokenParameter" =  "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NWQ2ZjA4MmYxNTY2NTAwMTNkNGRmYjciLCJpYXQiOjE3MDg2MDAwMzJ9.NSozzF7RO1D11RAs07GPH7qjNNS2HZGOAPiota2swh4"	[MsgId: MMSG-13992]
Action.c(69): Warning -26592: The header being added may cause unpredictable results when applied to all ensuing URLs. It is added anyway  	[MsgId: MWAR-26592]
Action.c(69): web_add_auto_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(71): web_custom_request("contacts") started  	[MsgId: MMSG-26355]
Action.c(71): web_custom_request("contacts") was successful, 10951 body bytes, 774 header bytes  	[MsgId: MMSG-26386]
Action.c(83): lr_think_time: 29.00 seconds.	[MsgId: MMSG-15948]
Action.c(85): web_url("addContact") started  	[MsgId: MMSG-26355]
Action.c(85): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(85): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(85): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/addContact.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(85): web_url("addContact") was successful, 4613 body bytes, 3178 header bytes  	[MsgId: MMSG-26386]
Action.c(94): lr_think_time: 15.00 seconds.	[MsgId: MMSG-15948]
Action.c(98): web_custom_request("contacts_2") started  	[MsgId: MMSG-26355]
Action.c(98): Warning: The string '"firstName":"Brunda","lastName":"M"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(98): web_custom_request("contacts_2") was successful, 113 body bytes, 763 header bytes  	[MsgId: MMSG-26386]
Action.c(110): web_url("contactList_2") started  	[MsgId: MMSG-26355]
Action.c(110): Retrieving data from cache for "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26557]
Action.c(110): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(110): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(110): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/contactList.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(110): web_url("contactList_2") was successful, 0 body bytes, 3139 header bytes  	[MsgId: MMSG-26386]
Action.c(120): web_custom_request("contacts_3") started  	[MsgId: MMSG-26355]
Action.c(120): web_custom_request("contacts_3") was successful, 11065 body bytes, 758 header bytes  	[MsgId: MMSG-26386]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Starting iteration 2.	[MsgId: MMSG-15968]
Notify: Next row for parameter Password = 1 [table  = Password].	[MsgId: MMSG-13876]
Notify: Getting new value for parameter 'Password': table = 'Password.dat' column = '0' row = '1'.	[MsgId: MMSG-13877]
Notify: Next row for parameter Email = 1 [table  = Email].	[MsgId: MMSG-13876]
Notify: Getting new value for parameter 'Email': table = 'Email.dat' column = '0' row = '1'.	[MsgId: MMSG-13877]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(6): lr_think_time: 54.00 seconds.	[MsgId: MMSG-15948]
Action.c(8): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(8): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(17): web_custom_request("login") started  	[MsgId: MMSG-26355]
Action.c(17): Notify: Parameter Substitution: parameter "Email" =  "mariab@gmail.com"	[MsgId: MMSG-13992]
Action.c(17): Notify: Parameter Substitution: parameter "Password" =  "9876543210"	[MsgId: MMSG-13992]
Action.c(17): Notify: Saving Parameter "tokenParameter = eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NWQ2ZjA4MmYxNTY2NTAwMTNkNGRmYjciLCJpYXQiOjE3MDg2MDAxMzl9.tNkdknP6cYfLAekioEamP8arlgKlOnEYyPHM-PNz-zQ".	[MsgId: MMSG-13798]
Action.c(17): web_custom_request("login") was successful, 276 body bytes, 982 header bytes  	[MsgId: MMSG-26386]
Action.c(29): web_url("contactList") started  	[MsgId: MMSG-26355]
Action.c(29): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(29): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(29): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/contactList.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(29): web_url("contactList") was successful, 18340 body bytes, 3219 header bytes  	[MsgId: MMSG-26386]
Action.c(38): web_custom_request("json") started  	[MsgId: MMSG-26355]
Action.c(38): Warning: The string '"fp":"1.aeedb246d19256a956fedaa89fb62423ae5bd8855a2a1f3189161cf045645a19"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '5ab5b8f0-b0ef-4cdc-9068-1db9039f3dc8' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.c900ba9a2d8318263fd43782ee6fd5fb50bad78bf0eb2c972b5922c458af45ed"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '0ab04dee-3dee-4dfd-8d49-4046e02e624e' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '79edb1d3-6a67-4d41-a888-72f4cf51e168' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.cd1978742a4afdbaaa15bf712d5c90bef4144caa99024df98f6a9ad58043ae85"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '679a359e-b0e9-41cc-9532-22fbf95812e3' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.b9685d1e3054ce061c8c804b6e8983c6f62deb37d3882c2de2ef300666e91af3"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'c30666b1-b9cd-480b-838e-d34148d0bd56' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.04dfbee1ec2fd167512805dedf3fa2a823dc28fe9fa2c97a74e664b38486110f"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'b0b6e648-23bd-40ee-af1c-35ef32ce0248' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.4a6508925b2ffec931c1e3931ddeb15ca41d820a8264cd5a962b526e9932bcdf"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'a5e0b29e-b2db-4751-bd86-871af0730dd5' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.fd515ec0dc30d25a09641b8b83729234bc50f4511e35ce17d24fd996252eaace"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '95ffcd7d-2920-4cb9-9510-755f723cc027' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.f4f1eb04881095d1cc8f2e1799a8144c10476dc1088a03ecdb4418644040a554"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'c87f63eb-1a3e-4a65-a514-04bba7f81240' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.630414f6b053d4455bba45e07513742a8bfc72e591f3a010f0e636a83df4eed7"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '5e141207-4be5-4e58-85ef-eb5aff0d982d' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.93bad6a3d7ac28485190495b33735420f459ac0a31f8a958f46f52cdfe1dbd7a"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '32d21e65-9f78-4d88-9133-633f0754b397' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '32cbef71-42d5-4848-a911-a19846b6fd42' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.a8a79d350c2a5e3bc36226633a8e0bed0dfab184e77f38fc8f0820ebacf8eafc"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '1ba1499c-9229-42aa-a04f-c0c29b9314c0' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.4ccf4cac4c37dd966d3bee0b3a4137894eecde1b22a9d4e7ef07d5081b5cf67a"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'fba4d389-4b99-47c3-8d31-8d839acd6f22' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.af8fa6822a4a3a4aeaf78dd2b562b3b76ed3ef0b362f8ebc822df79717c996df"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'ce8683c3-f890-47cc-bb46-6c306696b686' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.c52c62a7c50daf7d3f73ec16977cd4b0ea401710807d5dbe3850941dd1b73a70"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'c333e77c-5899-4863-9f4b-35f9d61de76d' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.c45cd56a0a8da0883c8f9757b31891d6c628f38cb80724015ffdf33b419a73f3"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '4a88b469-c1e6-4e27-9390-c28296cbb973' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.545666a4efd056351597bb386aea1368105ededc976ed5650d8682daab9f37ff"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '2489fb86-e336-4646-af2f-bbb8039f5fd9' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.94b8a51eb078298283bcc90c1930d2207f263431522df89385d05d4271dc11fa"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'd3bebf1f-5b8c-4cb8-aedf-6babd6907b9b' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.c64c9c1008f3ba5f6e18b3ca524bc98dcd8acfae0a2720a8f1f3ef0f8d643d05"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '343eaca5-2f59-4c54-baf6-02b1f966591e' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.3a118962ef814c91f6476bb9f0de58afa63103af6ac1b8729be9b39a86789e96"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '94d561c8-61c7-4fe6-a5a7-ebfec5cc8d56' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
